frame,gt,Baseline using 25% of train data,Baseline using 50% of train data,Baseline using 75% of train data,Baseline using 100% of train data,Advanced using 25% of train data,Advanced using 50% of train data,Advanced using 75% of train data,Advanced using 100% of train data
70,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,1,0,0
396,1,1,0,0,0,0,0,0,0
397,1,1,0,0,0,0,1,0,0
398,1,1,0,0,0,0,1,0,0
399,1,1,0,0,0,0,1,0,0
400,1,1,0,0,0,0,1,0,0
401,1,1,0,0,0,0,1,1,1
402,1,1,0,0,1,1,1,1,1
403,1,1,0,0,1,1,1,1,1
404,1,1,0,1,1,1,1,1,1
405,1,1,0,1,1,1,1,1,1
406,1,1,0,1,1,1,1,1,1
407,1,1,0,1,1,1,1,1,1
408,1,1,0,1,1,1,1,1,1
409,1,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1,1
411,1,1,1,1,1,1,1,1,1
412,1,1,1,1,1,1,1,1,1
413,1,1,1,1,1,1,1,1,1
414,1,1,1,1,1,1,1,1,1
415,1,1,1,1,1,1,1,1,1
416,1,1,1,1,1,1,1,1,1
417,1,1,1,1,1,1,1,1,1
418,1,1,1,1,1,1,1,1,1
419,1,1,1,1,1,1,1,1,1
420,1,1,1,1,1,1,1,1,1
421,1,1,1,1,1,1,1,1,1
422,1,1,1,1,1,1,1,1,1
423,1,1,1,1,1,1,1,1,1
424,1,1,1,1,1,1,1,1,1
425,1,1,1,1,1,1,1,1,1
426,1,1,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1,1,1
429,1,1,1,1,1,1,1,1,1
430,1,1,1,1,1,1,1,1,1
431,1,1,1,1,1,1,1,1,1
432,1,1,1,1,1,1,1,1,1
433,1,1,1,1,1,1,1,1,1
434,1,1,1,1,1,1,1,1,1
435,1,1,1,1,1,1,1,1,1
436,1,1,1,1,1,1,1,1,1
437,1,1,1,1,1,1,1,1,1
438,1,1,1,1,1,1,1,1,1
439,1,1,1,1,1,1,1,1,1
440,1,1,1,1,1,1,1,1,1
441,1,1,1,1,1,1,1,1,1
442,1,1,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1,1,1
444,1,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,1,1
446,1,1,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1,1,1
448,1,1,1,1,1,1,1,1,1
449,1,1,1,1,1,1,1,1,1
450,1,1,1,1,1,1,1,1,1
451,1,1,1,1,1,1,1,1,1
452,1,1,1,1,1,1,1,1,1
453,1,1,1,1,1,1,1,1,1
454,1,1,1,1,1,1,1,1,1
455,1,1,1,1,1,1,1,1,1
456,1,1,1,1,1,1,1,1,1
457,1,1,1,1,1,1,1,1,1
458,1,1,1,1,1,1,1,1,1
459,1,1,1,1,1,1,1,1,1
460,1,1,1,1,1,1,1,1,1
461,1,1,1,1,1,1,1,1,1
462,1,1,1,1,1,1,1,1,1
463,1,1,1,1,1,1,1,1,1
464,1,1,1,1,1,1,1,1,1
465,1,1,1,1,1,1,1,1,1
466,1,1,1,1,1,1,1,1,1
467,1,1,1,1,1,1,1,1,1
468,1,1,1,1,1,1,1,1,1
469,1,1,1,1,1,1,1,1,1
470,1,1,1,1,1,1,1,1,1
471,1,1,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1,1,1
474,1,1,1,1,1,1,1,1,1
475,1,1,1,1,1,1,1,1,1
476,1,1,1,1,1,1,1,1,1
477,1,1,1,1,1,1,1,1,1
478,1,1,1,1,1,1,1,1,1
479,1,1,1,1,1,1,1,1,1
480,1,1,1,1,1,1,1,1,1
481,1,1,1,1,1,1,1,1,1
482,1,1,1,1,1,1,1,1,1
483,1,1,1,1,1,1,1,1,1
484,1,1,1,1,1,1,1,1,1
485,1,1,1,1,1,1,1,1,1
486,1,1,1,1,1,1,1,1,1
487,1,1,1,1,1,1,1,1,1
488,1,1,1,1,1,1,1,1,1
489,1,1,1,1,1,1,1,1,1
490,1,1,1,1,1,1,1,1,1
491,1,1,1,1,1,1,1,1,1
492,1,1,1,1,1,1,1,1,1
493,1,1,1,1,1,1,1,1,1
494,1,1,1,1,1,1,1,1,1
495,1,1,1,1,1,1,1,1,1
496,1,1,1,1,1,1,1,1,1
497,1,1,1,1,1,1,1,1,1
498,1,1,1,1,1,1,1,1,1
499,1,1,1,1,1,1,1,1,1
500,1,1,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1,1,1
502,1,1,1,1,1,1,1,1,1
503,1,1,1,1,1,1,1,1,1
504,1,1,1,1,1,1,1,1,1
505,1,1,1,1,1,1,1,1,1
506,1,1,1,1,1,1,1,1,1
507,1,1,1,1,1,1,1,1,1
508,1,1,1,1,1,1,1,1,1
509,1,1,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1,1,1
511,1,1,1,1,1,1,1,1,1
512,1,1,1,1,1,1,1,1,1
513,1,1,1,1,1,1,1,1,1
514,1,1,1,1,1,1,1,1,1
515,1,1,1,1,1,1,1,1,1
516,1,1,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1,1,1
518,1,1,1,1,1,1,1,1,1
519,1,1,1,1,1,1,1,1,1
520,1,1,1,1,1,1,1,1,1
521,1,1,1,1,1,1,1,1,1
522,1,1,1,1,1,1,1,1,1
523,1,1,1,1,1,1,1,1,1
524,1,1,1,1,1,1,1,1,1
525,1,1,1,1,1,1,1,1,1
526,1,1,1,1,1,1,1,1,1
527,1,1,1,1,1,1,1,1,1
528,1,1,1,1,1,1,1,1,1
529,1,1,1,1,1,1,1,1,1
530,1,1,1,1,1,1,1,1,1
531,1,1,1,1,1,1,1,1,1
532,1,1,1,1,1,1,1,1,1
533,1,1,1,1,1,1,1,1,1
534,1,1,1,1,1,1,1,1,1
535,1,1,1,1,1,1,1,1,1
536,1,1,1,1,1,1,1,1,1
537,1,1,1,1,1,1,1,1,1
538,1,1,1,1,1,1,1,1,1
539,1,1,1,1,1,1,1,1,1
540,1,1,1,1,1,1,1,1,1
541,1,1,1,1,1,1,1,1,1
542,1,1,1,1,1,1,1,1,1
543,1,1,1,1,1,1,1,1,1
544,1,1,1,1,1,1,1,1,1
545,1,1,1,1,1,1,1,1,1
546,1,1,1,1,1,1,1,1,1
547,1,1,1,1,1,1,1,1,1
548,1,1,1,1,1,1,1,1,1
549,1,1,1,1,1,1,1,1,1
550,1,1,1,1,1,1,1,1,1
551,1,1,1,1,1,1,1,1,1
552,1,1,1,1,1,1,1,1,1
553,1,1,1,1,1,1,1,1,1
554,1,1,1,1,1,1,1,1,1
555,1,1,1,1,1,1,1,1,1
556,1,1,1,1,1,1,1,1,1
557,1,1,1,1,1,1,1,1,1
558,1,1,1,1,1,1,1,1,1
559,1,1,1,1,1,1,1,1,1
560,1,1,1,1,1,1,1,1,1
561,1,1,1,1,1,1,1,1,1
562,1,1,1,1,1,1,1,1,1
563,1,1,1,1,1,1,1,1,1
564,1,1,1,1,1,1,1,1,1
565,1,1,1,1,1,1,1,1,1
566,1,1,1,1,1,1,1,1,1
567,1,1,1,1,1,1,1,1,1
568,1,1,1,1,1,1,1,1,1
569,1,1,1,1,1,1,1,1,1
570,1,1,1,1,1,1,1,1,1
571,1,1,1,1,1,1,1,1,1
572,1,1,1,1,1,1,1,1,1
573,1,1,1,1,1,1,1,1,1
574,1,1,1,1,1,1,1,1,1
575,1,1,1,1,1,1,1,1,1
576,1,1,1,1,1,1,1,1,1
577,1,1,1,1,1,1,1,1,1
578,1,1,1,1,1,1,1,1,1
579,1,1,1,1,1,1,1,1,1
580,1,1,1,1,1,1,1,1,1
581,1,1,1,1,1,1,1,1,1
582,1,1,1,1,1,1,1,1,1
583,1,1,1,1,1,1,1,1,1
584,1,1,1,1,1,1,1,1,1
585,1,1,1,1,1,1,1,1,1
586,1,1,1,1,1,1,1,1,1
587,1,1,1,1,1,1,1,1,1
588,1,1,1,1,1,1,1,1,1
589,1,1,1,1,1,1,1,1,1
590,1,1,1,1,1,1,1,1,1
591,1,1,1,1,1,1,1,1,1
592,1,1,1,1,1,1,1,1,1
593,1,1,1,1,1,1,1,1,1
594,1,1,1,1,1,1,1,1,1
595,1,1,1,1,1,1,1,1,1
596,1,1,1,1,1,1,1,1,1
597,1,1,1,1,1,1,1,1,1
598,1,1,1,1,1,1,1,1,1
599,1,1,1,1,1,1,1,1,1
600,1,1,1,1,1,1,1,1,1
601,1,1,1,1,1,1,1,1,1
602,1,1,1,1,1,1,1,1,1
603,1,1,1,1,1,1,1,1,1
604,1,1,1,1,1,1,1,1,1
605,1,1,1,1,1,1,1,1,1
606,1,1,1,1,1,1,1,1,1
607,1,1,1,1,1,1,1,1,1
608,1,1,1,1,1,1,1,1,1
609,1,1,1,1,1,1,1,1,1
610,1,1,1,1,1,1,1,1,1
611,1,1,1,1,1,1,1,1,1
612,1,1,1,1,1,1,1,1,1
613,1,1,1,1,1,1,1,1,1
614,1,1,1,1,1,1,1,1,1
615,1,1,1,1,1,1,1,1,1
616,1,1,1,1,1,1,1,1,1
617,1,1,1,1,1,1,1,1,1
618,1,1,1,1,1,1,1,1,1
619,1,1,1,1,1,1,1,1,1
620,1,1,1,1,1,1,1,1,1
621,1,1,1,1,1,1,1,1,1
622,1,1,1,1,1,1,1,1,1
623,1,1,1,1,1,1,1,1,1
624,1,1,1,1,1,1,1,1,1
625,1,1,1,1,1,1,1,1,1
626,1,1,1,1,1,1,1,1,1
627,1,1,1,1,1,1,1,1,1
628,1,1,1,1,1,1,1,1,1
629,1,1,1,1,1,1,1,1,1
630,1,1,1,1,1,1,1,1,1
631,1,1,1,1,1,1,1,1,1
632,1,1,1,1,1,1,1,1,1
633,1,1,1,1,1,1,1,1,1
634,1,1,1,1,1,1,1,1,1
635,1,1,1,1,1,1,1,1,1
636,1,1,1,1,1,1,1,1,1
637,1,1,1,1,1,1,1,1,1
638,1,1,1,1,1,1,1,1,1
639,1,1,1,1,1,1,1,1,1
640,1,1,1,1,1,1,1,1,1
641,1,1,1,1,1,1,1,1,1
642,1,1,1,1,1,1,1,1,1
643,1,1,1,1,1,1,1,1,1
644,1,1,1,1,1,1,1,1,1
645,1,1,1,1,1,1,1,1,1
646,1,1,1,1,1,1,1,1,1
647,1,1,1,1,1,1,1,1,1
648,1,1,1,1,1,1,1,1,1
649,1,1,1,1,1,1,1,1,1
650,1,1,1,1,1,1,1,1,1
651,1,1,1,1,1,1,1,1,1
652,1,1,1,1,1,1,1,1,1
653,1,1,1,1,1,1,1,1,1
654,1,1,1,1,1,1,1,1,1
655,1,1,1,1,1,1,1,1,1
656,1,1,1,1,1,1,1,1,1
657,1,1,1,1,1,1,1,1,1
658,1,1,1,1,1,1,1,1,1
659,1,1,1,1,1,1,1,1,1
660,1,1,1,1,1,1,1,1,1
661,1,1,1,1,1,1,1,1,1
662,1,1,1,1,1,1,1,1,1
663,1,1,1,1,1,1,1,1,1
664,1,1,1,1,1,1,1,1,1
665,1,1,1,1,1,1,1,1,1
666,1,1,1,1,1,1,1,1,1
667,1,1,1,1,1,1,1,1,1
668,1,1,1,1,1,1,1,1,1
669,1,1,1,1,1,1,1,1,1
670,1,1,1,1,1,1,1,1,1
671,1,1,1,1,1,1,1,1,1
672,1,1,1,1,1,1,1,1,1
673,1,1,1,1,1,1,1,1,1
674,1,1,1,1,1,1,1,1,1
675,1,1,1,1,1,1,1,1,1
676,1,1,1,1,1,1,1,1,1
677,1,1,1,1,1,1,1,1,1
678,1,1,1,1,1,1,1,1,1
679,1,1,1,1,1,1,1,1,1
680,1,1,1,1,1,1,1,1,1
681,1,1,1,1,1,1,1,1,1
682,1,1,1,1,1,1,1,1,1
683,1,1,1,1,1,1,1,1,1
684,1,1,1,1,1,1,1,1,1
685,1,1,1,1,1,1,1,1,1
686,1,1,1,1,1,1,1,1,1
687,1,1,1,1,1,1,1,1,1
688,1,1,1,1,1,1,1,1,1
